host,ip,port,protocol,title,domain,country,city,link,org
https://183.104.176.223:50001,183.104.176.223,50001,https,403 Forbidden,,KR,Yangsan,https://183.104.176.223:50001,Korea Telecom
https://183.106.23.185:50000,183.106.23.185,50000,https,403 Forbidden,,KR,Seongnam,https://183.106.23.185:50000,Korea Telecom
https://220.125.184.164:50001,220.125.184.164,50001,https,403 Forbidden,,KR,Seongnam,https://220.125.184.164:50001,Korea Telecom
https://119.202.158.65:10001,119.202.158.65,10001,https,403 Forbidden,,KR,Seongnam,https://119.202.158.65:10001,Korea Telecom
https://112.186.152.85:50000,112.186.152.85,50000,https,403 Forbidden,,KR,Seongnam,https://112.186.152.85:50000,Korea Telecom
https://59.30.160.83:50001,59.30.160.83,50001,https,403 Forbidden,,KR,Seongnam,https://59.30.160.83:50001,Korea Telecom
https://125.138.193.176:20201,125.138.193.176,20201,https,403 Forbidden,,KR,Seongnam,https://125.138.193.176:20201,Korea Telecom
https://14.48.60.221:12131,14.48.60.221,12131,https,403 Forbidden,,KR,Seongnam,https://14.48.60.221:12131,Korea Telecom
220.94.94.109:20201,220.94.94.109,20201,http,,,KR,Seongnam,http://220.94.94.109:20201,Korea Telecom
https://121.189.67.5:12130,121.189.67.5,12130,https,403 Forbidden,,KR,Seongnam,https://121.189.67.5:12130,Korea Telecom
https://59.8.178.67:50000,59.8.178.67,50000,https,403 Forbidden,,KR,Seongnam,https://59.8.178.67:50000,Korea Telecom
https://220.79.29.86:12130,220.79.29.86,12130,https,403 Forbidden,,KR,Bucheon,https://220.79.29.86:12130,Korea Telecom
https://59.22.136.160:12130,59.22.136.160,12130,https,403 Forbidden,,KR,Seongnam,https://59.22.136.160:12130,Korea Telecom
https://183.101.245.148:50000,183.101.245.148,50000,https,403 Forbidden,,KR,Seongnam,https://183.101.245.148:50000,Korea Telecom
https://220.77.92.229:12130,220.77.92.229,12130,https,403 Forbidden,,KR,Busan,https://220.77.92.229:12130,Korea Telecom
https://211.105.152.128:12128,211.105.152.128,12128,https,403 Forbidden,,KR,Gimcheon,https://211.105.152.128:12128,Korea Telecom
https://222.97.226.51:17967,222.97.226.51,17967,https,403 Forbidden,,KR,Seongnam,https://222.97.226.51:17967,Korea Telecom
https://112.186.163.26:12128,112.186.163.26,12128,https,403 Forbidden,,KR,Seongnam,https://112.186.163.26:12128,Korea Telecom
https://220.80.154.29:10443,220.80.154.29,10443,https,403 Forbidden,,KR,Gwangju,https://220.80.154.29:10443,Korea Telecom
https://14.36.22.205:50000,14.36.22.205,50000,https,403 Forbidden,,KR,Gwangmyeong,https://14.36.22.205:50000,Korea Telecom
https://112.173.102.47:10000,112.173.102.47,10000,https,403 Forbidden,,KR,Seongnam,https://112.173.102.47:10000,Korea Telecom
https://183.109.227.86:50000,183.109.227.86,50000,https,403 Forbidden,,KR,Seongnam,https://183.109.227.86:50000,Korea Telecom
https://125.138.193.176:12128,125.138.193.176,12128,https,403 Forbidden,,KR,Seongnam,https://125.138.193.176:12128,Korea Telecom
https://183.108.94.16:10003,183.108.94.16,10003,https,403 Forbidden,,KR,Yeoncheon,https://183.108.94.16:10003,Korea Telecom
https://175.203.46.51:12128,175.203.46.51,12128,https,403 Forbidden,,KR,Seongnam,https://175.203.46.51:12128,Korea Telecom
https://121.154.97.193:12661,121.154.97.193,12661,https,403 Forbidden,,KR,Jeonju,https://121.154.97.193:12661,Korea Telecom
https://211.34.41.95:34171,211.34.41.95,34171,https,403 Forbidden,,KR,Seongnam,https://211.34.41.95:34171,Korea Telecom
https://59.29.143.247:12128,59.29.143.247,12128,https,403 Forbidden,,KR,Wonju,https://59.29.143.247:12128,Korea Telecom
https://59.13.75.15:11310,59.13.75.15,11310,https,403 Forbidden,,KR,Seongnam,https://59.13.75.15:11310,Korea Telecom
https://118.41.242.12:10001,118.41.242.12,10001,https,403 Forbidden,,KR,Seongnam,https://118.41.242.12:10001,Korea Telecom
https://119.194.131.80:12128,119.194.131.80,12128,https,403 Forbidden,,KR,Seongnam,https://119.194.131.80:12128,Korea Telecom
https://121.161.151.18:12128,121.161.151.18,12128,https,403 Forbidden,,KR,Seongnam,https://121.161.151.18:12128,Korea Telecom
https://183.104.17.160:32770,183.104.17.160,32770,https,403 Forbidden,,KR,Seongnam,https://183.104.17.160:32770,Korea Telecom
https://112.169.220.13:10443,112.169.220.13,10443,https,403 Forbidden,,KR,Seongnam,https://112.169.220.13:10443,Korea Telecom
121.172.139.157:12127,121.172.139.157,12127,http,,,KR,Seongnam,http://121.172.139.157:12127,Korea Telecom
https://59.6.66.9:50000,59.6.66.9,50000,https,403 Forbidden,,KR,Guri,https://59.6.66.9:50000,Korea Telecom
https://220.71.216.216:12917,220.71.216.216,12917,https,403 Forbidden,,KR,Seongnam,https://220.71.216.216:12917,Korea Telecom
https://112.171.68.22:10001,112.171.68.22,10001,https,403 Forbidden,,KR,Gwangmyeong,https://112.171.68.22:10001,Korea Telecom
https://121.177.159.95:12126,121.177.159.95,12126,https,403 Forbidden,,KR,Seongnam,https://121.177.159.95:12126,Korea Telecom
https://211.199.92.237:50000,211.199.92.237,50000,https,403 Forbidden,,KR,Seongnam,https://211.199.92.237:50000,Korea Telecom
https://222.113.74.67:50000,222.113.74.67,50000,https,403 Forbidden,,KR,Seongnam,https://222.113.74.67:50000,Korea Telecom
https://183.98.182.70:11001,183.98.182.70,11001,https,403 Forbidden,,KR,Seongnam,https://183.98.182.70:11001,Korea Telecom
121.180.100.204:12126,121.180.100.204,12126,http,,,KR,Seongnam,http://121.180.100.204:12126,Korea Telecom
https://221.156.150.179:12126,221.156.150.179,12126,https,403 Forbidden,,KR,Mokpo,https://221.156.150.179:12126,Korea Telecom
https://112.167.246.29:12126,112.167.246.29,12126,https,403 Forbidden,,KR,Seongnam,https://112.167.246.29:12126,Korea Telecom
https://119.196.21.70:37810,119.196.21.70,37810,https,403 Forbidden,,KR,Seongnam,https://119.196.21.70:37810,Korea Telecom
https://118.37.73.36:10909,118.37.73.36,10909,https,403 Forbidden,,KR,Seongnam,https://118.37.73.36:10909,Korea Telecom
112.185.190.94:18080,112.185.190.94,18080,http,,,KR,Seongnam,http://112.185.190.94:18080,Korea Telecom
https://210.179.71.53:12125,210.179.71.53,12125,https,403 Forbidden,,KR,Seongnam,https://210.179.71.53:12125,Korea Telecom
https://59.30.47.129:50000,59.30.47.129,50000,https,403 Forbidden,,KR,Gangneung,https://59.30.47.129:50000,Korea Telecom
https://222.120.90.174:12125,222.120.90.174,12125,https,403 Forbidden,,KR,Seongnam,https://222.120.90.174:12125,Korea Telecom
https://211.34.41.95:12125,211.34.41.95,12125,https,403 Forbidden,,KR,Seongnam,https://211.34.41.95:12125,Korea Telecom
https://175.215.156.46:12125,175.215.156.46,12125,https,403 Forbidden,,KR,Seongnam,https://175.215.156.46:12125,Korea Telecom
https://218.147.223.43:25605,218.147.223.43,25605,https,403 Forbidden,,KR,Seongnam,https://218.147.223.43:25605,Korea Telecom
https://121.144.201.72:12125,121.144.201.72,12125,https,403 Forbidden,,KR,Busan,https://121.144.201.72:12125,Korea Telecom
https://59.28.6.215:50000,59.28.6.215,50000,https,403 Forbidden,,KR,Gwangju,https://59.28.6.215:50000,Korea Telecom
https://183.107.83.237:50000,183.107.83.237,50000,https,403 Forbidden,,KR,Seongnam,https://183.107.83.237:50000,Korea Telecom
https://220.86.104.93:50000,220.86.104.93,50000,https,403 Forbidden,,KR,Seongnam,https://220.86.104.93:50000,Korea Telecom
https://14.42.193.21:12124,14.42.193.21,12124,https,403 Forbidden,,KR,Seongnam,https://14.42.193.21:12124,Korea Telecom
https://121.175.251.36:12124,121.175.251.36,12124,https,403 Forbidden,,KR,Busan,https://121.175.251.36:12124,Korea Telecom
https://175.200.236.157:50000,175.200.236.157,50000,https,403 Forbidden,,KR,Busan,https://175.200.236.157:50000,Korea Telecom
https://175.198.156.202:10000,175.198.156.202,10000,https,403 Forbidden,,KR,Bucheon,https://175.198.156.202:10000,Korea Telecom
https://221.161.176.222:50000,221.161.176.222,50000,https,403 Forbidden,,KR,Seongnam,https://221.161.176.222:50000,Korea Telecom
https://119.194.220.238:31885,119.194.220.238,31885,https,403 Forbidden,,KR,Seongnam,https://119.194.220.238:31885,Korea Telecom
125.134.168.148:31680,125.134.168.148,31680,http,,,KR,Seongnam,http://125.134.168.148:31680,Korea Telecom
https://222.102.84.30:12124,222.102.84.30,12124,https,403 Forbidden,,KR,Gwangju,https://222.102.84.30:12124,Korea Telecom
https://221.154.63.17:12124,221.154.63.17,12124,https,403 Forbidden,,KR,Seongnam,https://221.154.63.17:12124,Korea Telecom
https://59.2.181.172:50000,59.2.181.172,50000,https,403 Forbidden,,KR,Seongnam,https://59.2.181.172:50000,Korea Telecom
https://121.142.137.147:12123,121.142.137.147,12123,https,403 Forbidden,,KR,Namdong,https://121.142.137.147:12123,Korea Telecom
https://61.73.97.119:10002,61.73.97.119,10002,https,403 Forbidden,,KR,Seongnam,https://61.73.97.119:10002,Korea Telecom
https://59.11.89.252:20201,59.11.89.252,20201,https,403 Forbidden,,KR,Seongnam,https://59.11.89.252:20201,Korea Telecom
https://119.194.79.217:12123,119.194.79.217,12123,https,403 Forbidden,,KR,Seongnam,https://119.194.79.217:12123,Korea Telecom
https://61.79.48.98:12123,61.79.48.98,12123,https,403 Forbidden,,KR,Seongnam,https://61.79.48.98:12123,Korea Telecom
https://211.197.138.121:12123,211.197.138.121,12123,https,403 Forbidden,,KR,Seongnam,https://211.197.138.121:12123,Korea Telecom
https://121.129.163.178:10002,121.129.163.178,10002,https,403 Forbidden,,KR,Seongnam,https://121.129.163.178:10002,Korea Telecom
https://125.134.169.165:12123,125.134.169.165,12123,https,403 Forbidden,,KR,Seongnam,https://125.134.169.165:12123,Korea Telecom
https://61.72.115.195:20201,61.72.115.195,20201,https,403 Forbidden,,KR,Seongnam,https://61.72.115.195:20201,Korea Telecom
https://220.123.29.114:10443,220.123.29.114,10443,https,403 Forbidden,,KR,Seongnam,https://220.123.29.114:10443,Korea Telecom
https://221.164.165.14:50000,221.164.165.14,50000,https,403 Forbidden,,KR,Seongnam,https://221.164.165.14:50000,Korea Telecom
https://121.129.163.178:20000,121.129.163.178,20000,https,403 Forbidden,,KR,Seongnam,https://121.129.163.178:20000,Korea Telecom
https://125.133.178.233:12122,125.133.178.233,12122,https,403 Forbidden,,KR,Seongnam,https://125.133.178.233:12122,Korea Telecom
https://118.40.112.188:12122,118.40.112.188,12122,https,403 Forbidden,,KR,Seongnam,https://118.40.112.188:12122,Korea Telecom
https://211.114.180.156:20202,211.114.180.156,20202,https,403 Forbidden,,KR,Seongnam,https://211.114.180.156:20202,Korea Telecom
https://220.95.33.248:50000,220.95.33.248,50000,https,403 Forbidden,,KR,Mokpo,https://220.95.33.248:50000,Korea Telecom
https://222.114.4.16:50000,222.114.4.16,50000,https,403 Forbidden,,KR,Seongnam,https://222.114.4.16:50000,Korea Telecom
https://119.201.195.135:32414,119.201.195.135,32414,https,403 Forbidden,,KR,Dalseong,https://119.201.195.135:32414,Korea Telecom
https://183.98.8.11:12122,183.98.8.11,12122,https,403 Forbidden,,KR,Seongnam,https://183.98.8.11:12122,Korea Telecom
https://211.184.154.229:20202,211.184.154.229,20202,https,403 Forbidden,,KR,Seongnam,https://211.184.154.229:20202,Korea Telecom
https://175.215.205.40:12121,175.215.205.40,12121,https,403 Forbidden,,KR,Seongnam,https://175.215.205.40:12121,Korea Telecom
https://222.107.236.137:17988,222.107.236.137,17988,https,403 Forbidden,,KR,Seongnam,https://222.107.236.137:17988,Korea Telecom
https://183.105.151.175:10002,183.105.151.175,10002,https,403 Forbidden,,KR,Sinan,https://183.105.151.175:10002,Korea Telecom
https://183.103.250.110:50000,183.103.250.110,50000,https,403 Forbidden,,KR,Seongnam,https://183.103.250.110:50000,Korea Telecom
https://211.199.65.186:12121,211.199.65.186,12121,https,403 Forbidden,,KR,Seongnam,https://211.199.65.186:12121,Korea Telecom
https://112.173.225.88:12121,112.173.225.88,12121,https,403 Forbidden,,KR,Seongnam,https://112.173.225.88:12121,Korea Telecom
59.2.119.71:12121,59.2.119.71,12121,http,,,KR,Seongnam,http://59.2.119.71:12121,Korea Telecom
https://221.165.144.240:50000,221.165.144.240,50000,https,403 Forbidden,,KR,Seongnam,https://221.165.144.240:50000,Korea Telecom
https://183.108.166.152:16000,183.108.166.152,16000,https,403 Forbidden,,KR,Seongnam,https://183.108.166.152:16000,Korea Telecom
https://59.31.120.135:12120,59.31.120.135,12120,https,403 Forbidden,,KR,Seongnam,https://59.31.120.135:12120,Korea Telecom
https://222.103.130.244:33848,222.103.130.244,33848,https,403 Forbidden,,KR,Seongnam,https://222.103.130.244:33848,Korea Telecom
https://59.31.155.92:50000,59.31.155.92,50000,https,403 Forbidden,,KR,Seongnam,https://59.31.155.92:50000,Korea Telecom
https://125.132.32.84:12120,125.132.32.84,12120,https,403 Forbidden,,KR,Seongnam,https://125.132.32.84:12120,Korea Telecom
https://61.73.210.209:12120,61.73.210.209,12120,https,403 Forbidden,,KR,Seongnam,https://61.73.210.209:12120,Korea Telecom
https://14.46.201.30:20000,14.46.201.30,20000,https,403 Forbidden,,KR,Seongnam,https://14.46.201.30:20000,Korea Telecom
https://59.14.45.119:50000,59.14.45.119,50000,https,403 Forbidden,,KR,Seongnam,https://59.14.45.119:50000,Korea Telecom
https://222.120.90.174:18080,222.120.90.174,18080,https,403 Forbidden,,KR,Seongnam,https://222.120.90.174:18080,Korea Telecom
https://121.175.118.75:12120,121.175.118.75,12120,https,403 Forbidden,,KR,Seongnam,https://121.175.118.75:12120,Korea Telecom
https://14.39.197.208:12120,14.39.197.208,12120,https,403 Forbidden,,KR,Seongnam,https://14.39.197.208:12120,Korea Telecom
https://14.39.43.121:12119,14.39.43.121,12119,https,403 Forbidden,,KR,Seoul,https://14.39.43.121:12119,Korea Telecom
https://211.38.222.37:12119,211.38.222.37,12119,https,403 Forbidden,,KR,Seongnam,https://211.38.222.37:12119,Korea Telecom
https://14.56.126.220:12119,14.56.126.220,12119,https,403 Forbidden,,KR,Seongnam,https://14.56.126.220:12119,Korea Telecom
https://175.211.154.200:12119,175.211.154.200,12119,https,403 Forbidden,,KR,Seongnam,https://175.211.154.200:12119,Korea Telecom
https://119.201.195.135:10001,119.201.195.135,10001,https,403 Forbidden,,KR,Dalseong,https://119.201.195.135:10001,Korea Telecom
https://183.105.224.204:12119,183.105.224.204,12119,https,403 Forbidden,,KR,Seongnam,https://183.105.224.204:12119,Korea Telecom
https://121.135.110.70:12119,121.135.110.70,12119,https,403 Forbidden,,KR,Seongnam,https://121.135.110.70:12119,Korea Telecom
121.144.41.183:16992,121.144.41.183,16992,http,,,KR,Seongnam,http://121.144.41.183:16992,Korea Telecom
https://221.164.192.95:50000,221.164.192.95,50000,https,403 Forbidden,,KR,Seongnam,https://221.164.192.95:50000,Korea Telecom
https://118.45.1.145:12118,118.45.1.145,12118,https,403 Forbidden,,KR,Seongnam,https://118.45.1.145:12118,Korea Telecom
https://118.41.164.139:10035,118.41.164.139,10035,https,403 Forbidden,,KR,Seongnam,https://118.41.164.139:10035,Korea Telecom
